name,price,category,description
Linen Shirt  - test,120,Shirts,High-quality linen shirt with modern fit
Cotton T-Shirt - test,45,Shirts,Comfortable cotton t-shirt
Wool Blazer -test,350,Coats,Professional wool blazer for formal occasions
Silk Dress -test,280,Dresses,Elegant silk dress for special events
Denim Jeans -test,180,Pants,Classic denim jeans with perfect fit
Cotton Kurta -test,95,Traditional,Traditional cotton kurta with embroidery
Silk Saree - test,450,Traditional,Premium silk saree with designer work
Leather Jacket -test,420,Coats,Stylish leather jacket for casual wear
Wool Sweater -test ,150,Winter,Warm wool sweater for cold weather
Linen Pants -test,110,Pants,Comfortable linen pants for summer
