name,price,category,description
Linen Shirt,120.00,Shirts,High-quality linen shirt with modern fit
Cotton T-Shirt,45.00,Shirts,Comfortable cotton t-shirt
Wool Blazer,350.00,Coats,Professional wool blazer for formal occasions
Silk Dress,280.00,Dresses,Elegant silk dress for special events
Denim Jeans,180.00,Pants,Classic denim jeans with perfect fit
Cotton Kurta,95.00,Traditional,Traditional cotton kurta with embroidery
Silk Saree,450.00,Traditional,Premium silk saree with designer work
Leather Jacket,420.00,Coats,Stylish leather jacket for casual wear
Wool Sweater,150.00,Winter,Warm wool sweater for cold weather
Linen Pants,110.00,Pants,Comfortable linen pants for summer
